star,region,constellation,security_status,connections
Milal,Domain,Armi,0.3,"['Shuria', 'Sobenah', 'Rammi']"
Hizhara,Domain,Mulata,0.58,"['Arera', 'Ahala']"
Neziel,Domain,Mulata,0.45,"['Seiradih', 'Ruchy', 'Hai']"
Ahala,Domain,Mulata,0.54,"['Arera', 'Hizhara']"
Knophtikoo,Domain,Mulata,0.69,['Arera']
Hai,Domain,Mulata,0.51,"['Seiradih', 'Neziel']"
Moussou,Domain,Kehina,0.82,"['Rasile', 'Nadohman']"
Jarshitsan,Domain,Avib,0.57,"['Matyas', 'Luromooh', 'Hadonoo', 'Ahmak']"
Aeddin,Molden Heath,Fittakan,0.57,"['Gulfonodi', 'Teonusude', 'Austraka']"
Gulfonodi,Molden Heath,Fittakan,0.5,"['Aeddin', 'Teonusude']"
Gelfiven,Molden Heath,Fittakan,0.56,"['Teonusude', 'Oddelulf', 'Atlar']"
Bosena,Molden Heath,Fittakan,0.4,"['Teonusude', 'Oddelulf', 'Heild']"
2E-ZR5,Geminate,N-K4Q0,-0.31,"['SR-KBB', 'O1-FTD']"
OEY-OR,Geminate,N-K4Q0,-0.35,"['O1-FTD', '39-DGG']"
EOA-ZC,Geminate,F-ZNNG,-0.07,"['Akkio', 'UBX-CC', 'TJM-JJ']"
Bosboger,Heimatar,Huvilma,0.32,"['Dammalin', 'Lulm', 'Gulmorogod']"
Olfeim,Heimatar,Huvilma,0.44,['Dammalin']
Lulm,Heimatar,Huvilma,0.34,"['Bosboger', 'Gulmorogod']"
Austraka,Heimatar,Osta,0.76,"['Aeddin', 'Obrolber', 'Gerek']"
Vard,Heimatar,Hed,0.38,"['Amamake', 'Siseide', 'Lantorn', 'Dal', 'Ezzara']"
Siseide,Heimatar,Hed,0.34,"['Eszur', 'Amamake', 'Vard', 'Lantorn', 'Dal', 'Auga', 'Egghelende']"
Dal,Heimatar,Hed,0.41,"['Hofjaldgund', 'Amamake', 'Vard', 'Siseide', 'Lantorn', 'Auga']"
Auga,Heimatar,Hed,0.39,"['Amamake', 'Siseide', 'Dal', 'Kourmonen']"
Wiskeber,Heimatar,Akimamur,0.4,"['Aralgrund', 'Mateber', 'Offikatlin']"
Eifer,Heimatar,Evannater,0.44,"['Emolgranlan', 'Gusandall', 'Atgur', 'Endrulf']"
Gultratren,Heimatar,Evannater,0.31,"['Arnstur', 'Rokofur', 'Ingunn']"
Sharuveil,Sinq Laison,Disier,0.4,"['Decon', 'Nausschie']"
Ansone,Sinq Laison,Jonenor,0.74,"['Trosquesere', 'Dunraelare']"
Gallareue,Sinq Laison,Jonenor,0.75,['Nausschie']
Fluekele,Sinq Laison,Algintal,0.56,"['Parchanier', 'Alsottobier', 'Jolia']"
Jolia,Sinq Laison,Algintal,0.51,"['Fluekele', 'Augnais', 'Barmalie']"
Audaerne,Sinq Laison,Algintal,0.47,"['Avenod', 'Alsottobier', 'Augnais']"
Alillere,Sinq Laison,Nexus,0.85,"['Alles', 'Abenync', 'Pozirblant', 'Bourynes', 'Aurcel', 'Aymaerne']"
Pozirblant,Sinq Laison,Nexus,0.74,"['Alillere', 'Bourynes', 'Aurcel']"
Aymaerne,Sinq Laison,Nexus,0.9,"['Alillere', 'Bourynes']"
Esmes,Sinq Laison,Nadire,0.11,"['Aetree', 'Basan']"
Vittenyn,Sinq Laison,Ambrye,0.9,"['Bourynes', 'Mirilene', 'Pucherie', 'Fricoure', 'Trossere']"
Ainaille,Sinq Laison,Ambrye,0.85,"['Vylade', 'Caretyn']"
Halmah,Devoid,Jayai,0.45,"['Arayar', 'Asghed', 'Tararan', 'Mili']"
Arnatele,Everyshore,Osnins,0.62,"['Halle', 'Mormoen', 'Amattens', 'Jurlesel', 'Bereye', 'Junsoraert']"
Halle,Everyshore,Osnins,0.73,"['Arnatele', 'Mormoen', 'Bereye']"
Amattens,Everyshore,Osnins,0.59,"['Arnatele', 'Jurlesel', 'Bereye', 'Aice', 'Junsoraert', 'Uphene']"
Jurlesel,Everyshore,Osnins,0.6,"['Arnatele', 'Amattens', 'Bereye', 'Aice', 'Junsoraert']"
Aice,Everyshore,Osnins,0.69,"['Amattens', 'Jurlesel', 'Bereye', 'Enedore']"
Azer,Everyshore,Chasnaye,0.66,"['Harerget', 'Cherore', 'Torvi', 'Mosson', 'Atlanins']"
Cherore,Everyshore,Chasnaye,0.7,"['Harerget', 'Azer', 'Mosson', 'Jaschercis']"
Lirsautton,Everyshore,Ysiette,0.84,"['Marosier', 'Blameston', 'Ardallabier', 'Meves']"
Blameston,Everyshore,Ysiette,0.95,"['Vylade', 'Lirsautton']"
Frarolle,Everyshore,Odilis,0.79,"['Gicodel', 'Quier']"
Leremblompes,Everyshore,Giatole,0.65,"['Bereye', 'Atlanins', 'Bille', 'Colcer', 'Uphene', 'Avele']"
Averon,Everyshore,Elalan,0.58,"['Enedore', 'Angymonne', 'Carirgnottin', 'Odixie', 'Scuelazyns']"
Odixie,Everyshore,Elalan,0.55,"['Angymonne', 'Averon', 'Carirgnottin', 'Scuelazyns', 'Muer']"
Scuelazyns,Everyshore,Elalan,0.64,"['Enedore', 'Angymonne', 'Averon', 'Carirgnottin', 'Odixie', 'Muer']"
Kuomi,The Bleak Lands,Sasen,0.57,"['Tuomuta', 'Otelen']"
Huola,The Bleak Lands,Sasen,0.37,"['Roushzar', 'Otelen', 'Kourmonen']"
Sasiekko,The Bleak Lands,Vaarma,0.54,"['Sosala', 'Netsalakka', 'Myyhera', 'Raravoss']"
PF-346,Syndicate,Z-6NQ6,-0.35,"['FD-MLJ', 'Orvolle']"
Aldrat,Metropolis,Aptetter,0.62,"['Eygfe', 'Urnhard', 'Hardbako', 'Erstur', 'Fredagod']"
Wirdalen,Metropolis,Ergruk,0.59,"['Eygfe', 'Nein', 'Enden']"
Osvestmunnur,Metropolis,Ergruk,0.51,"['Anstard', 'Moselgi']"
Polstodur,Metropolis,Frar,0.84,"['Vilur', 'Hebisa', 'Tollus']"
Mateber,Metropolis,Inkelm,0.35,"['Wiskeber', 'Finanar', 'Ofage']"
Ofage,Metropolis,Inkelm,0.29,"['Fuskunen', 'Moselgi', 'Mateber']"
Eldjaerin,Metropolis,Rollera,0.56,"['Diromitur', 'Erlendur', 'Aldik']"
Erlendur,Metropolis,Rollera,0.45,"['Diromitur', 'Eldjaerin', 'Frulegur']"
Tabbetzur,Metropolis,Rollera,0.27,"['Ennur', 'Offikatlin']"
Akila,Domain,Fua,0.33,"['Basan', 'Amod']"
Mista,Domain,Kashag,0.54,"['Airshaz', 'Andabiar', 'Kheram', 'Murzi']"
Mai,Domain,Zemont,0.43,['Zaimeth']
Chemilip,Domain,Qeti,0.61,"['Herila', 'Raravath', 'Hisoufad', 'Jesoyeh']"
Uzigh,Domain,Qeti,0.64,['Hisoufad']
Miakie,Domain,Mofa,0.48,"['Merz', 'Faswiba']"
Sirkahri,Domain,Mofa,0.53,"['Merz', 'Galeh']"
Faswiba,Domain,Mofa,0.35,"['Merz', 'Miakie', 'Hayumtom']"
Yuhelia,Domain,Maseend,0.8,"['Aghesi', 'Hati', 'Maiah', 'Barira']"
Stacmon,Placid,Fislipesnes,0.61,"['Ostingele', 'Covryn', 'Dastryns', 'Slays', 'Aidart']"
Algasienan,Placid,Josmaert,0.73,"['Vivanier', 'Osmallanais', 'Archavoinet', 'Shaggoth']"
Archavoinet,Placid,Pegeler,0.62,"['Algasienan', 'Eugales', 'Aubenall']"
Eugales,Placid,Pegeler,0.4,"['Archavoinet', 'Frarie', 'Aubenall', 'Moclinamaud']"
Frarie,Placid,Pegeler,0.36,"['Vey', 'Eugales', 'Moclinamaud']"
Osmeden,Placid,Beyt,0.73,"['Orvolle', 'Adacyne', 'Maut']"
Oulley,Placid,Beyt,0.34,"['Aubenall', 'Orvolle']"
Avaux,Placid,Mallugier,0.45,"['Gallusiene', 'Aidart']"
Arderonne,Placid,Serthoulde,0.17,"['Reschard', 'Alamel', 'Odamia']"
Alamel,Placid,Serthoulde,0.17,"['Arderonne', 'Mantenault', 'Odamia']"
Mashtarmem,Khanid,Finaka,0.71,"['Ervekam', 'Sehsasez', 'Yezara', 'Saloti']"
Sehsasez,Khanid,Finaka,0.71,"['Ervekam', 'Mashtarmem', 'Osis', 'Kahah']"
Yezara,Khanid,Finaka,0.74,"['Ervekam', 'Mashtarmem', 'Osis']"
Palas,Khanid,Amdimmah,0.51,"['Gidali', 'Safshela', 'Reteka']"
O-ZXUV,Cloud Ring,Balenne,-0.01,"['FD53-H', '77-KDQ', 'F7C-H0', '1-NW2G', 'O-0HW8']"
77-KDQ,Cloud Ring,Balenne,-0.02,"['O-ZXUV', 'F7C-H0', 'TN-T7T']"
6-4V20,Cloud Ring,Tinnimerci,-0.02,"['O-0HW8', 'YI-8ZM', 'W-4NUU']"
Joamma,Kador,Kakol,0.55,['Ghesis']
Neburab,Kador,Kakol,0.46,"['Gonan', 'Zinoo']"
Aband,Kador,Kakol,0.52,"['Ghesis', 'Munory']"
Askonak,Kador,Febihkin,0.67,"['Murini', 'Minin']"
Turba,Kador,Trigentia,0.7,"['Onazel', 'Sonama', 'Kothe', 'Yooh']"
Sonama,Kador,Trigentia,0.77,"['Turba', 'Halibai', 'Suner', 'Inis-Ilix']"
Inis-Ilix,Kador,Trigentia,0.91,"['Sonama', 'Suner', 'Akhwa']"
Finid,Kador,Parrosa,0.49,['Yarebap']
Peyiri,Kador,Parrosa,0.54,"['Mandoo', 'Kamda']"
Yooh,Kador,Ahrnot,0.65,"['Turba', 'Hostakoh', 'Jeshideh', 'Hilmar']"
Ustnia,Kador,Moghiz,0.82,"['Elmed', 'Shaggoth', 'Minin']"
Hulmate,Essence,Balrille,0.43,"['Deninard', 'Annages', 'Onne', 'Aere']"
Annages,Essence,Balrille,0.66,"['Deninard', 'Hulmate']"
Vitrauze,Essence,Balrille,0.3,"['Onne', 'Palmon', 'Droselory']"
Parts,Essence,Vieres,0.37,"['Obalyu', 'Allebin']"
Aere,Essence,Peccanouette,0.61,"['Hulmate', 'Arnon', 'Lisbaetanne']"
Ane,Essence,Thoulde,0.31,"['Seyllin', 'Clorteler']"
Nebian,Kor-Azor,Jatari,0.35,"['Fensi', 'Khabara', 'Jeni', 'Noranim']"
Jinkah,Kor-Azor,Nimedaz,0.85,"['Nahyeen', 'Nibainkier', 'Annad']"
Andrub,Kor-Azor,Nimedaz,0.67,"['Nahyeen', 'Nahol']"
Misha,Kor-Azor,Finena,0.49,"['Shaha', 'Neesher', 'Ordion']"
Pananan,Kor-Azor,Orus,0.2,"['Gademam', 'Daran']"
Shokal,Kor-Azor,Comadu,0.5,"['Nibainkier', 'Atarli', 'Keproh', 'Zatamaka']"
Rannoze,Kor-Azor,Comadu,0.4,"['Fensi', 'Atarli']"
Cleyd,Genesis,Nazdirer,0.48,"['Lor', 'Vecamia', 'Atreen']"
Tarta,Genesis,Sanctum,0.5,"['Vecamia', 'Tekaima', 'Zoohen', 'Girani-Fa']"
Avyuh,Genesis,Ekrin,0.57,"['Ashokon', 'Apanake', 'Sheroo']"
Manatirid,Genesis,Ubar,0.55,"['Diaderi', 'Pashanai']"
Girani-Fa,Genesis,Fabas,0.59,"['Aydoteaux', 'Tarta', 'Nasreri']"
Muetralle,Verge Vendor,Woenckee,0.24,"['Costolle', 'Hevrice']"
Loes,Verge Vendor,Woenckee,0.27,"['Agoze', 'Ouelletta']"
Scheenins,Verge Vendor,Kiartanne,0.54,"['Jufvitte', 'Vay']"
Amygnon,Verge Vendor,Kiartanne,0.64,['Jufvitte']
Luse,Verge Vendor,Obray,0.89,"['Eletta', 'Ekuenbiron', 'Vay', 'Clellinon']"
Vay,Verge Vendor,Obray,0.76,"['Scheenins', 'Eletta', 'Luse', 'Raneilles']"
Hevrice,Verge Vendor,Obray,0.42,"['Muetralle', 'Raneilles', 'Jovainnon']"
Annelle,Verge Vendor,Ancbeu,0.76,"['Masalle', 'Chesiette']"
Chaktaren,Kor-Azor,Nimedaz,0.8,['Polfaly']
Clacille,Verge Vendor,Obray,0.87,['Eletta']
Seitam,Tash-Murkon,Subhatoub,0.94,['Zehru']
Akpivem,Derelik,San Matar,0.85,"['Tanoo', 'Yuzier', 'Maspah', 'Asghatil']"
Yuzier,Derelik,San Matar,0.91,"['Tanoo', 'Akpivem', 'Nirbhi']"
Radima,Derelik,Hevaka,0.75,"['Mohas', 'Hasiari']"
Alkez,Derelik,Hevaka,0.78,['Hasiari']
Astabih,Derelik,Joas,0.41,"['Arnola', 'Ubtes', 'Bimener', 'Kenobanala', 'Khabi']"
Bimener,Derelik,Joas,0.27,"['Astabih', 'Ubtes', 'Kenobanala', 'Khabi']"
Kenobanala,Derelik,Joas,0.29,"['Astabih', 'Ubtes', 'Bimener', 'Audesder']"
Khabi,Derelik,Joas,0.25,"['Astabih', 'Ubtes', 'Bimener', 'Uanzin', '7Q-8Z2']"
Paala,The Forge,Mivora,0.13,['Uemon']
Fuskunen,The Forge,Mivora,0.22,"['Uemon', 'Ofage']"
N-HSK0,Vale of the Silent,BUG6-X,-0.36,"['05R-7A', '7-UH4Z', 'FS-RFL', '49-0LI']"
NFM-0V,Vale of the Silent,DMXN-3,-0.5,"['UH-9ZG', 'MY-T2P']"
YXIB-I,Vale of the Silent,DMXN-3,-0.51,['UH-9ZG']
4GYV-Q,Vale of the Silent,I89-EP,-0.54,"['WBR5-R', '4-HWWF']"
8TPX-N,Vale of the Silent,I89-EP,-0.44,"['MC6O-F', 'WBR5-R', '4-HWWF']"
PM-DWE,Vale of the Silent,I89-EP,-0.42,"['WBR5-R', '4-HWWF']"
A-DDGY,Tribute,X-VN63,-0.21,['F-749O']
NL6V-7,Tribute,X-VN63,-0.26,"['F-749O', 'GKP-YT']"
UMI-KK,Tribute,X-VN63,-0.17,"['0-YMBJ', 'AW1-2I', 'DL1C-E', 'Y-W1Q3']"
GKP-YT,Tribute,X-VN63,-0.21,"['B-S42H', 'NL6V-7']"
SH1-6P,Tribute,52-JKU,-0.57,"['D7-ZAC', 'TRKN-L', 'O-0ERG']"
WH-JCA,Tribute,52-JKU,-0.73,"['0J3L-V', 'D7-ZAC', 'O-0ERG', 'Q-CAB2', 'W6VP-Y']"
S8-NSQ,Tribute,03C-SU,-0.2,"['B-S42H', 'GIH-ZG']"
Adahum,Tash-Murkon,Sanair,0.61,['Goram']
Dabrid,Tash-Murkon,Mise,0.65,"['Sehmosh', 'Gyerzen']"
Gemodi,Tash-Murkon,Emsek,0.36,"['Hibi', 'Chamume', 'Pera', 'Yong']"
Nuzair,Tash-Murkon,Emsek,0.54,"['Hibi', 'Shousran']"
Pera,Tash-Murkon,Emsek,0.46,"['Hibi', 'Gemodi', 'Shousran']"
Nasesharafa,Tash-Murkon,Sukanan,0.17,"['Keshirou', 'Tirbam']"
Hostni,Tash-Murkon,Damadil,0.79,"['Asesamy', 'Mimime', 'Kibursha']"
Lari,Tash-Murkon,Tsemshatel,0.49,['Azerakish']
Yasud,Tash-Murkon,Tsemshatel,0.63,"['Azerakish', 'Ghishul', 'Moutid']"
Ghishul,Tash-Murkon,Tsemshatel,0.7,"['Yeder', 'Yasud']"
Moutid,Tash-Murkon,Tsemshatel,0.71,"['Kibursha', 'Azerakish', 'Yasud']"
Sizamod,Tash-Murkon,Ajah,0.72,['Iswa']
Esa,Tash-Murkon,Peges,0.76,"['Uhodoh', 'Kari']"
Hath,Tash-Murkon,Peges,0.8,"['Uhodoh', 'Sharios']"
Judra,Tash-Murkon,Peges,0.76,"['Uhodoh', 'Arakor']"
O-N8XZ,Pure Blind,YS-GOP,-0.19,"['EWOK-K', 'MI6O-6', 'L-TS8S']"
R-2R0G,Pure Blind,LY-FY6,-0.21,"['G-M4I8', 'M-YCD4', 'Q-5211', 'CR-AQH']"
Uisper,Metropolis,Eugidi,0.39,"['Floseswin', 'Aset', 'Eytjangard', 'Turnur']"
Aset,Metropolis,Eugidi,0.36,"['Floseswin', 'Uisper', 'Eytjangard', 'Turnur', 'Isbrabata', 'Vimeini', 'Avenod']"
Avenod,Metropolis,Eugidi,0.39,"['Aset', 'Eytjangard', 'Audaerne']"
Ontorn,Metropolis,Essin,0.32,"['Frerstorn', 'Sirekur', 'Gebuladi', 'Ebolfer']"
Sirekur,Metropolis,Essin,0.31,"['Frerstorn', 'Ontorn', 'Ebolfer']"
Gebuladi,Metropolis,Essin,0.26,"['Frerstorn', 'Ontorn', 'Ebolfer', 'Eszur']"
Ebolfer,Metropolis,Essin,0.25,"['Frerstorn', 'Ontorn', 'Sirekur', 'Gebuladi', 'Eszur']"
Eszur,Metropolis,Essin,0.21,"['Frerstorn', 'Gebuladi', 'Ebolfer', 'Hofjaldgund', 'Siseide']"
Hofjaldgund,Metropolis,Essin,0.27,"['Eszur', 'Dal']"
Murema,Domain,Yestadan,0.66,"['Armala', 'Cailanar', 'Aghesi', 'Warouh']"
Pelkia,Domain,Mazake,0.52,"['Joppaya', 'Raren', 'Mazitah']"
Sakhti,Domain,Mazake,0.45,"['Mazitah', 'Aldali', 'Nomash', 'Gademam']"
Fabin,Domain,Kekah,0.72,"['Aghesi', 'Maiah']"
Airshaz,Domain,Kekah,0.73,"['Aghesi', 'Mista']"
Patzcha,Domain,Kekah,0.73,"['Aghesi', 'Charra', 'Madimal']"
Charra,Domain,Kekah,0.75,"['Aghesi', 'Patzcha', 'Harva']"
Vashkah,Domain,Sosarir,0.74,"['Nererut', 'Nifshed']"
Nifshed,Domain,Sosarir,0.65,"['Nererut', 'Vashkah', 'Sadye']"
Shumam,Domain,Sosarir,0.68,['Gid']
Sobenah,Domain,Armi,0.36,"['Milal', 'Bourar']"
Rammi,Domain,Armi,0.3,"['Milal', 'Arodan']"
Ruchy,Domain,Mulata,0.36,['Neziel']
Nadohman,Domain,Kehina,0.75,"['Ilonarav', 'Moussou', 'Sahdil']"
Luromooh,Domain,Kehina,0.63,"['Sahdil', 'Esteban', 'Nalu', 'Jarshitsan', 'Azizora', 'Shabura']"
Hadonoo,Domain,Avib,0.6,"['Jarshitsan', 'Azizora']"
Ahmak,Domain,Avib,0.6,['Jarshitsan']
Oddelulf,Molden Heath,Fittakan,0.37,"['Gelfiven', 'Bosena', 'Atlar', 'Istodard']"
Atlar,Molden Heath,Fittakan,0.37,"['Gelfiven', 'Oddelulf', 'Illamur']"
Heild,Molden Heath,Tartatven,0.33,"['Bosena', 'Hrokkur', 'Aedald']"
Ennur,Molden Heath,Eoldulf,0.06,"['Meildolf', 'Skarkon', 'Tabbetzur']"
SR-KBB,Geminate,N-K4Q0,-0.29,"['MR4-MY', '2E-ZR5', 'NQ-9IH']"
39-DGG,Geminate,8K-CHA,-0.36,"['OEY-OR', 'SV-K8J', '6RQ9-A']"
UBX-CC,Geminate,F-ZNNG,-0.06,"['NBPH-N', 'TJM-JJ', 'EOA-ZC', 'AD-5B8']"
TJM-JJ,Geminate,F-ZNNG,-0.05,"['UBX-CC', 'EOA-ZC', 'G-73MR', 'QP0K-B']"
Gerek,Heimatar,Wiedadur,0.73,"['Austraka', 'Tongofur', 'Gerbold', 'Rokofur', 'Ebasgerdur']"
Rokofur,Heimatar,Wiedadur,0.62,"['Gerek', 'Ebasgerdur', 'Gultratren']"
Lantorn,Heimatar,Hed,0.34,"['Vard', 'Siseide', 'Dal']"
Aralgrund,Heimatar,Akimamur,0.32,"['Roniko', 'Bogelek', 'Wiskeber']"
Gusandall,Heimatar,Evannater,0.38,"['Eifer', 'Ingunn', 'Auren', 'Hrondedir', 'Sotrenzur']"
Atgur,Heimatar,Evannater,0.48,"['Eifer', 'Endrulf']"
Endrulf,Heimatar,Evannater,0.61,"['Eifer', 'Atgur']"
Ingunn,Heimatar,Evannater,0.28,"['Gusandall', 'Gultratren', 'Sotrenzur']"
Alles,Sinq Laison,Firille,0.78,"['Foves', 'Chelien', 'Alillere']"
Dunraelare,Sinq Laison,Jonenor,0.65,"['Ansone', 'Inghenges', 'Estene', 'Stayme', 'Assiettes']"
Alsottobier,Sinq Laison,Algintal,0.51,"['Fluekele', 'Audaerne']"
Barmalie,Sinq Laison,Algintal,0.48,['Jolia']
Egghelende,Sinq Laison,Stion,0.45,"['Siseide', 'Jel', 'Odette', 'Ation', 'Aliette', 'Aurcel']"
Aurcel,Sinq Laison,Nexus,0.55,"['Egghelende', 'Alillere', 'Pozirblant']"
Aetree,Sinq Laison,Nadire,0.18,"['Allipes', 'Esmes']"
Mirilene,Sinq Laison,Ambrye,0.78,"['Chelien', 'Vittenyn']"
Pucherie,Sinq Laison,Ambrye,0.83,['Vittenyn']
Fricoure,Sinq Laison,Ambrye,0.81,"['Brapelille', 'Vittenyn', 'Caretyn']"
Caretyn,Sinq Laison,Ambrye,0.82,"['Brapelille', 'Fricoure', 'Ainaille']"
Ezzara,Devoid,Semou,0.18,"['Vard', 'Arzad']"
Lisudeh,Devoid,Kisana,0.76,"['Lashesih', 'Eredan']"
Roushzar,Devoid,Jayai,0.37,"['Labapi', 'Huola']"
Arayar,Devoid,Jayai,0.39,"['Labapi', 'Asghed', 'Halmah']"
Asghed,Devoid,Jayai,0.36,"['Labapi', 'Arayar', 'Tararan', 'Sosan', 'Halmah']"
Tararan,Devoid,Jayai,0.33,"['Arzad', 'Asghed', 'Sosan', 'Halmah']"
Hati,Devoid,Daredan,0.85,"['Uadelah', 'Akes', 'Riavayed', 'Jarkkolen', 'Yuhelia']"
Mormoen,Everyshore,Osnins,0.72,"['Arnatele', 'Halle']"
Junsoraert,Everyshore,Osnins,0.52,"['Arnatele', 'Amattens', 'Jurlesel']"
Torvi,Everyshore,Chasnaye,0.53,"['Azer', 'Mya']"
Mosson,Everyshore,Chasnaye,0.66,"['Azer', 'Cherore', 'Vaurent']"
Marosier,Everyshore,Ysiette,0.6,"['Lirsautton', 'Vaurent', 'Jaschercis']"
Jaschercis,Everyshore,Ysiette,0.61,"['Pulin', 'Cherore', 'Marosier', 'Vaurent', 'Aclan']"
Ardallabier,Everyshore,Ysiette,0.71,"['Ardene', 'Jel', 'Brapelille', 'Lirsautton']"
Quier,Everyshore,Odilis,0.73,['Frarolle']
Atlanins,Everyshore,Giatole,0.63,"['Azer', 'Vaurent', 'Leremblompes', 'Bille', 'Alachene', 'Elarel']"
Bille,Everyshore,Giatole,0.52,"['Atlanins', 'Leremblompes', 'Uphene', 'Elarel']"
Colcer,Everyshore,Giatole,0.85,['Leremblompes']
Uphene,Everyshore,Giatole,0.58,"['Amattens', 'Leremblompes', 'Bille', 'Alachene']"
Enedore,Everyshore,Elalan,0.65,"['Aice', 'Angymonne', 'Averon', 'Laic', 'Antollare', 'Scuelazyns']"
Angymonne,Everyshore,Elalan,0.56,"['Enedore', 'Averon', 'Odixie', 'Antollare', 'Scuelazyns', 'Muer']"
Avele,Everyshore,Elalan,0.71,"['Leremblompes', 'Antollare']"
Muer,Everyshore,Elalan,0.58,"['Angymonne', 'Odixie', 'Scuelazyns']"
Tuomuta,The Bleak Lands,Sasen,0.45,"['Kuomi', 'Kamela']"
Kourmonen,The Bleak Lands,Sasen,0.36,"['Auga', 'Lamaa', 'Huola', 'Kamela']"
Sosala,The Bleak Lands,Vaarma,0.42,"['Kamela', 'Anka', 'Sasiekko', 'Gammel', 'Uusanen']"
Netsalakka,The Bleak Lands,Vaarma,0.48,"['Iesa', 'Sasiekko', 'Myyhera']"
Myyhera,The Bleak Lands,Vaarma,0.48,"['Netsalakka', 'Sasiekko', 'Saikamon']"
FD-MLJ,Syndicate,Z-6NQ6,-0.04,"['X-BV98', 'PF-346', 'X-M2LR']"
Urnhard,Metropolis,Aptetter,0.65,"['Aldrat', 'Hardbako', 'Erstur']"
Hardbako,Metropolis,Aptetter,0.73,"['Aldrat', 'Urnhard', 'Fredagod']"
Erstur,Metropolis,Aptetter,0.58,"['Aldrat', 'Urnhard', 'Libold']"
Fredagod,Metropolis,Aptetter,0.82,"['Aldrat', 'Hardbako']"
Nein,Metropolis,Ergruk,0.54,"['Wirdalen', 'Enden', 'Erstet']"
Enden,Metropolis,Ergruk,0.39,"['Wirdalen', 'Nein']"
Anstard,Metropolis,Ergruk,0.5,"['Erstet', 'Osvestmunnur']"
Hebisa,Metropolis,Frar,0.88,"['Polstodur', 'Ansher']"
Tollus,Metropolis,Frar,0.79,"['Polstodur', 'Ogoten', 'Earled']"
Aldik,Metropolis,Rollera,0.74,"['Eldjaerin', 'Eurgrana']"
Frulegur,Metropolis,Hulf,0.43,"['Erlendur', 'Hroduko']"
Amod,Domain,Fua,0.3,"['Akila', 'Mod']"
Andabiar,Domain,Kashag,0.61,"['Goram', 'Armala', 'Mista']"
Kheram,Domain,Kashag,0.36,"['Unefsih', 'Mista', 'Sibot']"
Raravath,Domain,Qeti,0.44,"['Chemilip', 'Namaili', 'Erzoh']"
Jesoyeh,Domain,Qeti,0.69,['Chemilip']
Hayumtom,Domain,Mofa,0.46,"['Faswiba', 'Zanka']"
Galeh,Domain,Mofa,0.45,"['Sirkahri', 'Madimal']"
Maiah,Domain,Maseend,0.8,"['Aghesi', 'Fabin', 'Yuhelia', 'Hamse', 'Lashkai', 'Jaswelu']"
Agoze,Placid,Viriette,0.21,"['Intaki', 'Vey', 'Annancale', 'Ostingele', 'Loes']"
Vey,Placid,Viriette,0.19,"['Agoze', 'Intaki', 'Frarie']"
Ostingele,Placid,Viriette,0.17,"['Agoze', 'Harroule', 'Stacmon', 'Dastryns', 'Alperaute', 'Pelille']"
Covryn,Placid,Fislipesnes,0.36,"['Stacmon', 'Iges', 'Cumemare']"
Dastryns,Placid,Fislipesnes,0.25,"['Ostingele', 'Stacmon', 'Iges', 'Uphallant']"
Slays,Placid,Fislipesnes,0.49,"['Stacmon', 'Iges', 'Amoen']"
Vivanier,Placid,Josmaert,0.54,"['Dour', 'Brellystier', 'Algasienan']"
Osmallanais,Placid,Unour,0.76,"['Algasienan', 'Ivorider', 'Iffrue']"
Adacyne,Placid,Beyt,0.55,"['Osmeden', 'Chardalane', 'Maut']"
Maut,Placid,Beyt,0.25,"['Osmeden', 'Adacyne', 'Alparena']"
Gallusiene,Placid,Mallugier,0.31,"['Avaux', 'Ruerrotta']"
Reschard,Placid,Serthoulde,0.13,"['Alparena', 'Arderonne', 'Mercomesier']"
Mantenault,Placid,Serthoulde,0.14,"['RQH-MY', 'Alamel']"
Osis,Khanid,Finaka,0.73,"['Sehsasez', 'Geztic', 'Yezara']"
Kahah,Khanid,Finaka,0.72,"['Sehsasez', 'Saloti']"
Saloti,Khanid,Finaka,0.7,"['Mashtarmem', 'Kahah']"
Safshela,Khanid,Amdimmah,0.67,['Palas']
Reteka,Khanid,Amdimmah,0.5,"['Palas', 'Moniyyuku']"
FD53-H,Cloud Ring,Balenne,-0.01,"['DY-F70', 'O-ZXUV']"
TN-T7T,Cloud Ring,Balenne,-0.01,['77-KDQ']
1-NW2G,Cloud Ring,Balenne,-0.01,"['O-ZXUV', 'O-IVNH']"
O-0HW8,Cloud Ring,Tinnimerci,-0.03,"['O-ZXUV', 'YI-8ZM', '6-4V20']"
YI-8ZM,Cloud Ring,Tinnimerci,-0.05,"['O-0HW8', 'OU-X3P', '6-4V20', '8R-RTB']"
Halibai,Kador,Trigentia,0.75,['Sonama']
Kothe,Kador,Trigentia,0.65,['Turba']
Mandoo,Kador,Parrosa,0.51,"['Zimmem', 'Peyiri']"
Munory,Kador,Araz,0.49,"['Aband', 'Zimse', 'Koona']"
Jeshideh,Kador,Ahrnot,0.73,"['Yooh', 'Hilmar']"
Hilmar,Kador,Ahrnot,0.78,"['Yooh', 'Jeshideh', 'Kasi', 'Shura']"
Zinoo,Kador,Pezarba,0.42,"['Neburab', 'Sechmaren']"
Minin,Kador,Moghiz,0.72,"['Askonak', 'Ustnia']"
Palmon,Essence,Balrille,0.45,"['Lermireve', 'Vitrauze']"
